rt/ur/Depa,va/l /Arri,,,
8/17/2016,8/17/2016,,,
8/18/2016,8/18/2016,,,
8/18/2016,8/19/2016,,,
8/22/2016,8/22/2016,,,
8/28/2016,8/28/2016,,,
8/31/2016,8/31/2016,,,
9/4/2016,9/4/2016,,,
9/4/2016,9/4/2016,,,
9/8/2016,9/8/2016,,,
9/10/2016,9/10/2016,,,
9/16/2016,9/16/2016,,,
9/17/2016,9/17/2016,,,
9/17/2016,9/17/2016,,,
9/25/2016,9/25/2016,,,
10/2/2016,10/2/2016,,,
10/9/2016,10/9/2016,,,
10/11/2016,10/11/2016,,,
10/15/2016,10/15/2016,,,
10/19/2016,10/20/2016,,,
10/26/2016,10/26/2016,,,
10/28/2016,10/28/2016,,,
11/11/2016,11/11/2016,,,
11/14/2016,11/15/2016,,,
11/23/2016,11/23/2016,,,
11/29/2016,11/29/2016,,,
12/1/2016,12/1/2016,,,
12/2/2016,12/2/2016,,,
12/2/2016,12/3/2016,,,
12/11/2016,12/11/2016,,,
12/12/2016,12/12/2016,,,
12/16/2016,12/17/2016,,,
12/29/2016,12/29/2016,,,
1/2/2017,1/2/2017,,,
1/5/2017,1/5/2017,,,
1/9/2017,1/9/2017,,,
1/13/2017,1/13/2017,,,
1/13/2017,1/13/2017,,,
1/20/2017,1/20/2017,,,
1/21/2017,1/21/2017,,,
1/21/2017,1/22/2017,,,
1/23/2017,1/23/2017,,,
1/27/2017,1/27/2017,,,
1/29/2017,1/29/2017,,,
1/29/2017,1/29/2017,,,
2/2/2017,2/2/2017,,,
2/2/2017,2/2/2017,,,
2/6/2017,2/6/2017,,,
2/9/2017,2/9/2017,,,
2/12/2017,2/13/2017,,,
2/17/2017,2/17/2017,,,
2/24/2017,1/1/1900,,,
2/24/2017,2/24/2017,,,
2/26/2017,2/26/2017,,,
2/26/2017,2/26/2017,,,
2/27/2017,2/27/2017,,,
2/28/2017,3/1/2017,,,
3/5/2017,3/5/2017,,,
3/11/2017,3/11/2017,,,
3/11/2017,3/11/2017,,,
3/17/2017,3/17/2017,,,
3/20/2017,3/20/2017,,,
3/25/2017,3/25/2017,,,
3/26/2017,3/26/2017,,,
3/27/2017,3/27/2017,,,
3/27/2017,3/27/2017,,,
3/30/2017,3/30/2017,,,
4/6/2017,4/7/2017,,,
5/20/2017,5/20/2017,,,
5/29/2017,5/30/2017,,,
6/3/2017,6/3/2017,,,
6/3/2017,6/3/2017,,,
6/7/2017,6/7/2017,,,
6/9/2017,6/9/2017,,,
6/13/2017,6/13/2017,,,
6/13/2017,6/13/2017,,,
6/17/2017,6/17/2017,,,
6/25/2017,6/25/2017,,,
6/29/2017,6/29/2017,,,
6/30/2017,6/30/2017,,,
6/30/2017,6/30/2017,,,
7/2/2017,7/2/2017,,,
7/11/2017,7/11/2017,,,
7/13/2017,7/13/2017,,,
7/13/2017,7/13/2017,,,
7/16/2017,7/16/2017,,,
7/20/2017,7/20/2017,,,
7/21/2017,7/22/2017,,,
7/24/2017,7/24/2017,,,
8/2/2017,8/2/2017,,,
3/8/2018,3/8/2018,,,
3/12/2018,3/12/2018,,,
3/15/2018,3/15/2018,,,
3/16/2018,3/16/2018,,,
3/20/2018,3/20/2018,,,
3/22/2018,3/22/2018,,,
3/25/2018,3/25/2018,,,
3/25/2018,3/25/2018,,,
3/27/2018,3/27/2018,,,
3/27/2018,3/28/2018,,,
3/29/2018,3/29/2018,,,
3/31/2018,3/31/2018,,,
4/9/2018,4/9/2018,,,
4/13/2018,4/13/2018,,,
4/20/2018,4/20/2018,,,
4/20/2018,4/21/2018,,,
4/26/2018,4/26/2018,,,
5/10/2018,5/10/2018,,,
5/13/2018,5/13/2018,,,
5/22/2018,5/22/2018,,,
5/22/2018,5/23/2018,,,
5/27/2018,5/27/2018,,,
5/27/2018,5/27/2018,,,
6/2/2018,6/2/2018,,,
6/2/2018,6/3/2018,,,
6/8/2018,6/8/2018,,,
6/9/2018,6/9/2018,,,
6/12/2018,6/12/2018,,,
6/15/2018,6/15/2018,,,
6/15/2018,6/15/2018,,,
6/17/2018,6/17/2018,,,
6/20/2018,6/20/2018,,,
6/27/2018,6/27/2018,,,
6/30/2018,6/30/2018,,,
7/8/2018,7/8/2018,,,
7/10/2018,7/10/2018,,,
7/13/2018,7/13/2018,,,
7/16/2018,7/16/2018,,,
7/21/2018,7/21/2018,,,
7/29/2018,7/29/2018,,,
7/31/2018,7/31/2018,,,
9/27/2018,9/27/2018,,,
9/29/2018,9/29/2018,,,
9/30/2018,10/1/2018,,,
10/11/2018,10/11/2018,,,
10/11/2018,10/11/2018,,,
10/12/2018,10/12/2018,,,
10/15/2018,10/15/2018,,,
10/15/2018,10/15/2018,,,
10/15/2018,10/15/2018,,,
10/16/2018,10/16/2018,,,
10/19/2018,10/20/2018,,,
10/28/2018,10/28/2018,,,
10/30/2018,10/30/2018,,,
11/2/2018,11/2/2018,,,
11/11/2018,11/11/2018,,,
11/12/2018,11/13/2018,,,
11/19/2018,11/19/2018,,,
11/20/2018,11/20/2018,,,
11/25/2018,11/25/2018,,,
11/28/2018,11/28/2018,,,
12/2/2018,12/2/2018,,,
12/2/2018,12/3/2018,,,
12/5/2018,12/5/2018,,,
12/10/2018,12/10/2018,,,
12/14/2018,12/14/2018,,,
12/20/2018,12/20/2018,,,
1/6/2019,1/6/2019,,,
1/8/2019,1/8/2019,,,
1/12/2019,1/12/2019,,,
1/13/2019,1/13/2019,,,
1/13/2019,1/13/2019,,,
1/16/2019,1/16/2019,,,
1/22/2019,1/22/2019,,,
1/30/2019,1/30/2019,,,
2/4/2019,2/4/2019,,,
2/6/2019,2/6/2019,,,
2/8/2019,2/8/2019,,,
2/13/2019,2/13/2019,,,
2/16/2019,2/16/2019,,,
2/19/2019,2/19/2019,,,
2/19/2019,2/19/2019,,,
2/24/2019,2/24/2019,,,
3/2/2019,3/2/2019,,,
3/8/2019,3/8/2019,,,
3/11/2019,3/11/2019,,,
3/14/2019,3/14/2019,,,
3/15/2019,3/15/2019,,,
3/17/2019,3/18/2019,,,
3/18/2019,3/18/2019,,,
3/18/2019,3/18/2019,,,
3/19/2019,3/19/2019,,,
4/2/2019,4/2/2019,,,
4/7/2019,4/7/2019,,,
4/9/2019,4/9/2019,,,
4/14/2019,4/14/2019,,,
4/16/2019,4/16/2019,,,
4/19/2019,4/19/2019,,,
4/28/2019,4/28/2019,,,
4/30/2019,4/30/2019,,,
5/5/2019,5/5/2019,,,
5/8/2019,5/8/2019,,,
